Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Craiglyon Financial Management Limited,I - IFA,No,1-10,3,craiglyonfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Argyll Wealth Consultants Limited,Invalid domain,No,,,sjp.co.ukargyll
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,AKL Financial Management Limited,I - IFA,No,1-10,,aklfm.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Gary Breslin,I - IFA,No,,,breslinfs.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Argyll Financial Services Limited,I - IFA,No,1-10,5,argyllfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Advantage Wealth Management Ltd,I - IFA,No,1-10,1,advantagewealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Eleanor Bruce,I - IFA,No,,,eleanorbrucewealth.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Financial Planning Objectives Limited,I - IFA,No,,,finplan.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Perspect Financial Planning Limited,,,,,
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,GPD Mortgage Solutions Ltd,I - IFA,No,1-10,3,gpdmortgagesolutions.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,CK Financial Advisory Ltd,I - IFA,No,,,mortgage-shop-greenock.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Lomond Financial Management Limited,I - IFA,No,,1,lomondfinancial.com
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Patrick Kane,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/patkanewm
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Strathleven Financial Services Ltd,I - IFA,No,,,strathlevenfinancialservicessites.simplymembersites.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=1&pl_m=40,Manor Park Financial Services Ltd,I - IFA,No,,,manorpark.com
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,Gordon McNaughton,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/mcnaughtonwealth
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,Malcolm Gibson Wealth Management,I - IFA,No,,,malcolmgibsonwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,MX Independent Financial Services Ltd,I - IFA,No,11-50,1,mxfinancialservices.com
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,Affluent Financial Planning Ltd,I - IFA,No,1-10,6,affluentfp.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,Stewart IFA Ltd,I - IFA,No,1-10,4,stewartifa.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,North of Scotland Financial Services Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/northofscotlandfinancialservices
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,Brierie Financial Planning Ltd,I - IFA,No,1-10,1,brieriefp.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,Advanced (Scotland) Limited,I - IFA,No,51-200,156,advancedonline.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,Docherty & Co Financial Services Limited,I - IFA,No,1,1,men.com
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,Avonbrae Financial Services Limited,,,,,
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,Gerald Mulhern,,,,,
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,J McGhee (Financial Consultant) Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,McIntyre Financial Planning Ltd,I - IFA,No,,,mcintyrefinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,Brandane Financial Services Ltd,I - IFA,No,,,brandaneifa.com
https://financialadvisers.co.uk/financial-planning/inveraray/?pl_p=2&pl_m=40,Clydebank Financial Services Ltd,I - IFA,No,,,clydebankmm.co.uk
